Timestamp,Version,Seed,Profit (%),Model Path,COST_RATE,DRAWDOWN_PENALTY_RATE,ENT_COEF,LIQUIDITY_BONUS_RATE,PENALTY_OVER_DIVERSIFICATION,REWARD_ALPHA_MULT,REWARD_CASH_CRASH_MULT,REWARD_LOSS_MULT,REWARD_WIN_MULT,SAVE_MODEL_PATH,TURNOVER_PENALTY_RATE,T_PLUS_SETTLEMENT,Total Features,BATCH_SIZE,FEATURES_DIM,LEARNING_RATE,NET_ARCH,N_STEPS,SDE_SAMPLE_FREQ,USE_SDE
2026-07-12 23:14:53,v7_2,321,34.99,v7_2/AI_Brain_v7_2_Seed321_Profit_34.99.zip,0.0001,5.0,0.005,0.02,0.01,50,100,200,100,v7_2/AI_Brain_v7_2.zip,0.1,3,,,,,,,,
2026-07-12 23:15:26,v7,3,47.59,v7/AI_Brain_v7_Seed3_Profit_47.59.zip,0.0001,5.0,0.005,0.02,0.01,50,100,200,100,v7/AI_Brain_v7.zip,0.1,3,,,,,,,,
2026-07-12 23:33:11,v7_3_2,321,33.44,v7_3_2/AI_Brain_v7_Seed321_Profit_33.44.zip,0.0001,5.0,0.005,0.02,0.01,50,100,200,100,v7_3_2/AI_Brain_v7_3.zip,0.1,3,44.0,90.0,256.0,5e-05,"[256, 128]",1024.0,5.0,True
2026-07-12 23:38:00,v7_2,321,34.99,v7_2/AI_Brain_v7_2_Seed321_Profit_34.99.zip,0.0001,5.0,0.005,0.02,0.01,50,100,200,100,v7_2/AI_Brain_v7_2.zip,0.1,3,42.0,,,,,,,
2026-07-12 23:38:03,v7,3,47.59,v7/AI_Brain_v7_Seed3_Profit_47.59.zip,0.0001,5.0,0.005,0.02,0.01,50,100,200,100,v7/AI_Brain_v7.zip,0.1,3,42.0,,,,,,,
2026-07-12 23:44:07,v7_3_2,3,21.16,v7_3_2/AI_Brain_v7_Seed3_Profit_21.16.zip,0.0001,5.0,0.005,0.02,0.01,50,100,200,100,v7_3_2/AI_Brain_v7_3.zip,0.1,3,44.0,90.0,256.0,5e-05,"[256, 128]",1024.0,5.0,True
2026-07-12 23:53:52,v7_3_2,321,33.2,v7_3_2/AI_Brain_v7_Seed321_Profit_33.20.zip,0.0001,5.0,0.005,0.02,0.01,50,100,200,100,v7_3_2/AI_Brain_v7_3.zip,0.1,3,42.0,90.0,256.0,5e-05,"[256, 128]",1024.0,5.0,True
2026-07-12 23:59:00,v7_3_2,321,33.44,v7_3_2/AI_Brain_v7_Seed321_Profit_33.44.zip,0.0001,5.0,0.005,0.02,0.01,50,100,200,100,v7_3_2/AI_Brain_v7_3.zip,0.1,3,44.0,90.0,256.0,5e-05,"[256, 128]",1024.0,5.0,True
2026-07-13 00:03:18,v7_3_2,321,50.8,v7_3_2/AI_Brain_v7_Seed321_Profit_50.80.zip,0.0001,5.0,0.005,0.02,0.01,50,100,200,100,v7_3_2/AI_Brain_v7_3.zip,0.1,3,44.0,90.0,256.0,5e-05,"[64, 64]",1024.0,5.0,True
2026-07-13 00:06:25,v7_3_2,321,50.8,v7_3_2/AI_Brain_v7_Seed321_Profit_50.80.zip,0.0001,5.0,0.005,0.02,0.01,50,100,200,100,v7_3_2/AI_Brain_v7_3.zip,0.1,3,44.0,90.0,256.0,5e-05,"[64, 64]",1024.0,5.0,False
